Vector_RESET Interrupt_Reset
Vector_NMI Interrupt_NMI
Native_mode_IRQ Interrupt_IRQ
Vram_EraseTilemaps_Triforce EraseTileMaps_triforce
Vram_EraseTilemaps_PalaceMap EraseTileMaps_dungeonmap
Vram_EraseTilemaps_normal EraseTileMaps_normal
Vram_EraseTilemaps EraseTileMaps
Main_PrepSpritesForNmi NMI_PrepareSprites
UseImplicitRegIndexedLocalJumpTable JumpTableLocal
UseImplicitRegIndexedLongJumpTable JumpTableLong
Overworld_GetTileAttrAtLocation Overworld_GetTileAttributeAtLocation
Sound_LoadSongBank LoadSongBank
Sound_LoadLightWorldSongBank LoadOverworldSongs
Sound_LoadIndoorSongBank LoadDungeonSongs
Sound_LoadEndingSongBank LoadCreditsSongs
Main_SaveGameFile SaveGameFile
NMI_UploadBg3Text NMI_UploadBG3Text
NMI_UpdateScrollingOwMap NMI_UpdateOWScroll
NMI_UploadSubscreenOverlay NMI_UpdateSubscreenOverlay
NMI_UploadSubscreenOverlay_firstHalf NMI_UploadSubscreenOverlayFormer
NMI_UploadSubscreenOverlay_secondHalf NMI_UploadSubscreenOverlayLatter
NMI_UploadSubscreenOverlay_StartTransfers NMI_HandleArbitraryTileMap
NMI_UploadBg3Unknown NMI_UpdateBG1Wall
NMI_UploadBg3Unknown_doNothing NMI_TileMapNothing
NMI_LightWorldMode7Tilemap NMI_UpdateLoadLightWorldMap
NMI_UpdateLeftBg2Tilemaps NMI_UpdateBG2Left
NMI_UpdateBgChrSlots_3_to_4 NMI_UpdateBGChar3and4
NMI_UpdateBgChrSlots_5_to_6 NMI_UpdateBGChar5and6
NMI_UpdateChrHalfSlot NMI_UpdateBGCharHalf
NMI_UpdateChr_Bg0 NMI_UpdateBGChar0
NMI_UpdateChr_Bg1 NMI_UpdateBGChar1
NMI_UpdateChr_Bg2 NMI_UpdateBGChar2
NMI_UpdateChr_Bg3 NMI_UpdateBGChar3
NMI_UpdateChr_Spr0 NMI_UpdateObjChar0
NMI_UpdateChr_Spr2 NMI_UpdateObjChar2
NMI_UpdateChr_Spr3 NMI_UpdateObjChar3
NMI_UpdateAny NMI_RunTileMapUpdateDMA
NMI_DarkWorldMode7Tilemap NMI_UploadDarkWorldMap
NMI_UpdateBg3ChrForDeathMode NMI_UploadGameOverText
NMI_UpdateBarrierTileChr NMI_UpdatePegTiles
UNUSED_sub_8090EB UNREACHABLE_0090EB
Dungeon_Upload_BG2 Dungeon_PrepareNextRoomQuadrantUpload
Dungeon_Upload_BG1_Outer WaterFlood_BuildOneQuadrantForVRAM
Dungeon_Upload_BG1 TileMapPrep_NotWaterOnTag
Dungeon_Upload_BG1_Water WaterFlood_BuildOneQuadrantForVRAM_not_triggered
NMI_LoadTilemapToVram HandleStripes14
UpdatePolyhedralDma NMI_UpdateIRQGFX
LoadItemAnimationGfx LoadItemGFXIntoWRAM4BPPBuffer
DecompSwordGfx DecompressSwordGraphics
DecompShieldGfx DecompressShieldGraphics
DecompDungAnimatedTiles DecompressAnimatedDungeonTiles
DecompOwAnimatedTiles DecompressAnimatedOverworldTiles
IntroLoadGfx4 LoadItemGFX_Auxiliary
Tagalong_LoadGfx LoadFollowerGraphics
DecodeAnimatedSpriteTile WriteTo4BPPBuffer_at_7F4000
Intro_LoadGfx_expand3To4bpp LoadItemGFX_sheet0
SomeUnpackAnimatedTiles UNREACHABLE_00D5C5
Do3To4Low_8Tiles Do3bppToWRAM4bpp_LeftPal
Expand3To4High_6 Do3bppToWRAM4bpp_RightPal
LoadTransAuxGfx LoadTransAuxGFX
Dungeon_LoadSpriteSets LoadTransAuxGFX_sprite
DecompAuxAndSprites ReloadPreviouslyLoadedSheets
Text_DecompressStoryGfx Attract_DecompressStoryGFX
MirrorWarp_LoadNext AnimateMirrorWarp
MirrorWarp_LoadNext_0 AnimateMirrorWarp_LoadPyramidIfAga
MirrorWarp_LoadNext_5 AnimateMirrorWarp_TriggerOverlayA_2
MirrorWarp_LoadNext_7x AnimateMirrorWarp_DrawDestinationScreen
